Category,Product Name,Current Price,Original Price,Product URL
Food Cupboard,Sunrice Basmati Rice 5Kg,"KES 1,299","KES 1,825",https://naivas.online/sunrice-basmati-rice-5kg
Food Cupboard,Lea Premium Maize Meal 2Kg,KES 193,No discount,https://naivas.online/lea-premium-maize-meal-2kg
Food Cupboard,Rina Vegetable Oil 5L,"KES 1,169","KES 1,600",https://naivas.online/rina-vegetable-oil-5l
Food Cupboard,Sunrice Biryani 5Kg,KES 999,"KES 1,150",https://naivas.online/sunrice-biryani-5kg
Food Cupboard,Blueband Peanut Butter 400ml,KES 290,KES 360,https://naivas.online/blueband-peanut-butter-400ml
Food Cupboard,Tupike Maize Meal 2Kg,KES 139,KES 144,https://naivas.online/tupike-maize-meal-2kg
Food Cupboard,Dola Cooking Oil 5Ltr,"KES 1,099","KES 1,419",https://naivas.online/dola-cooking-oil-5ltr
Food Cupboard,Fresh Fri Vegetable Oil 5L,"KES 1,299","KES 1,600",https://naivas.online/fresh-fri-vegetable-oil-5l
Food Cupboard,Blueband Margarine 1Kg,KES 480,KES 585,https://naivas.online/blueband-margarine-1kg
Food Cupboard,Maryam Dates 905G,KES 745,KES 995,https://naivas.online/maryam-dates-905g
Food Cupboard,210 Maize Meal Flour 2 Kg,KES 158,No discount,https://naivas.online/210-maize-meal-flour-2-kg
Food Cupboard,Santa Lucia Spaghetti 1Kg,KES 405,KES 539,https://naivas.online/santa-lucia-spaghetti-1kg
Food Cupboard,Daawat Biryani 5Kg,"KES 1,099","KES 1,359",https://naivas.online/daawat-biryani-5kg
Food Cupboard,Daawat Basmati Rice 5Kg,"KES 1,399","KES 1,649",https://naivas.online/daawat-basmati-rice-5kg
Food Cupboard,Naivas Biryani Rice 5Kg,KES 990,"KES 1,130",https://naivas.online/naivas-biryani-rice-5kg
Food Cupboard,Sunrice All Day Basmati Rice 5 Kg,"KES 1,299","KES 1,540",https://naivas.online/sunrice-all-day-basmati-rice-5-kg
Food Cupboard,Nature'S Own Biryani Masala 50G,KES 125,No discount,https://naivas.online/nature-S-own-biryani-masala-50g
Food Cupboard,Nuteez Peanut Butter Smooth 800g,KES 570,No discount,https://naivas.online/nuteez-peanut-butter-smooth-800g
Food Cupboard,Sunrice Pishori Rice 5Kg,"KES 1,099","KES 1,459",https://naivas.online/sunrice-mwea-pishori-5kg
Food Cupboard,Baraka Dates 525G,KES 470,KES 640,https://naivas.online/baraka-dates-525g
Food Cupboard,Elianto Corn Oil 10L,"KES 5,075",No discount,https://naivas.online/elianto-corn-oil-10l
Food Cupboard,Sunrice Basmati Rice 2Kg,KES 599,KES 699,https://naivas.online/sunrice-basmati-rice-2kg
Food Cupboard,Daawat Basmati Rice 2Kg,KES 599,KES 665,https://naivas.online/daawat-basmati-rice-2kg
